ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
481494,1996,11,24,0,13,14,22,26,17,14,25
481495,1996,0,7,25,21,14,0,17,18,0,13
481496,1996,0,0,0,0,0,0,0,0,0,0
481497,1996,0,0,0,0,0,0,0,0,0,0
481498,1996,20,20,20,20,20,20,20,20,20,20
481499,1996,0,0,0,0,0,0,0,0,0,0
481500,1996,20,20,20,20,20,20,20,20,20,20
481501,1996,12,0,8,20,0,7,14,13,11,12
481502,1996,0,0,0,0,0,0,0,0,0,0
481503,1996,0,0,0,0,0,0,0,0,0,0
481504,1996,0,0,0,0,0,0,0,0,0,0
481505,1996,0,0,0,0,0,0,0,0,0,0
481506,1996,0,0,0,0,0,0,0,0,0,0
481507,1996,18,18,18,18,18,18,18,18,18,18
481508,1996,20,20,20,20,20,20,20,20,20,20
481509,1996,0,0,0,0,0,0,0,0,0,0
481510,1996,0,0,0,9,0,0,0,0,0,0
481511,1996,0,0,0,0,0,0,0,0,0,0
481512,1996,25,11,16,15,22,8,5,0,0,23
481513,1996,0,0,19,0,0,0,0,0,0,0
481514,1996,16,18,0,19,0,23,0,4,20,0
481515,1996,0,0,0,0,0,0,0,0,0,0
481516,1996,24,24,24,24,24,24,24,24,24,24
481517,1996,25,25,25,25,25,25,25,25,25,25
481518,1996,27,27,27,27,27,27,27,27,27,27
481519,1996,0,0,0,0,0,0,0,0,0,0
481520,1996,11,12,9,18,26,24,0,30,19,13
481521,1996,22,22,22,22,22,22,22,22,22,22
481522,1996,0,0,0,0,0,0,0,0,0,0
481523,1996,6,6,6,6,6,6,6,6,6,6
481524,1996,0,9,31,0,13,0,0,3,0,0
481525,1996,15,15,15,15,15,15,15,15,15,15
481526,1996,8,0,0,0,8,0,22,0,15,0
481527,1996,0,0,0,0,0,0,0,0,0,0
481528,1996,0,0,0,0,0,0,0,0,0,0
481529,1996,16,16,16,16,16,16,16,16,16,16
481530,1996,16,0,24,0,0,0,0,0,0,7
481531,1996,11,4,4,4,12,4,4,16,9,4
481532,1996,0,0,0,0,0,0,0,0,0,0
481533,1996,0,0,0,0,0,0,0,0,0,0
481534,1996,0,0,0,0,0,0,0,0,0,0
481535,1996,10,0,6,16,0,19,0,0,16,22
481536,1996,0,0,0,0,0,0,0,12,13,0
481537,1996,0,0,0,15,0,0,0,0,6,0
481538,1996,12,12,12,12,12,12,12,17,12,12
481539,1996,0,9,0,0,0,0,0,0,25,0
481540,1996,0,0,0,0,0,0,0,0,0,0
481541,1996,0,0,0,0,0,0,0,0,0,0
481542,1996,0,0,13,0,8,13,0,16,0,0
481543,1996,0,0,9,0,18,0,25,0,0,0
481544,1996,0,0,0,0,0,0,0,0,0,0
481545,1996,26,0,0,0,0,31,25,0,0,0
481546,1996,0,0,0,0,0,0,0,0,0,0
481547,1996,0,0,0,0,0,0,0,0,0,0
481548,1996,0,0,0,0,24,15,14,17,0,5
481549,1996,0,0,0,0,0,0,0,0,0,0
481550,1996,11,11,11,11,11,11,11,11,11,11
481551,1996,20,17,11,0,0,0,0,0,9,0
481552,1996,12,0,0,30,0,10,0,30,20,0
481553,1996,27,27,27,27,27,27,27,27,27,27
481554,1996,0,0,0,0,0,0,0,0,0,0
481555,1996,0,0,0,0,0,0,0,0,0,0
481556,1996,22,22,22,22,22,22,22,22,22,22
481557,1996,0,0,0,0,0,0,0,0,0,0
481558,1996,22,22,22,22,22,22,22,22,22,22
481559,1996,7,0,18,0,10,28,0,0,0,13
481560,1996,0,0,3,0,0,0,0,0,0,7
481561,1996,0,0,0,0,0,0,0,0,0,0
481562,1996,0,14,10,0,0,22,0,0,0,0
481563,1996,0,0,0,0,0,0,0,0,11,0
481564,1996,12,12,12,12,12,12,12,12,12,12
481565,1996,0,0,0,0,0,0,0,0,0,0
481566,1996,0,0,0,0,0,0,0,0,0,0
481567,1996,7,7,7,7,7,7,7,7,7,7
481568,1996,0,0,15,0,0,0,0,0,0,14
481569,1996,0,0,5,0,0,0,0,0,0,0
481570,1996,19,0,13,25,27,11,26,19,8,0
481571,1996,23,23,23,23,23,23,23,23,23,23
481572,1996,0,0,0,0,0,0,0,0,0,0
481573,1996,0,0,0,0,0,0,0,0,0,0
481574,1996,0,0,0,0,0,0,0,0,0,0
481575,1996,0,0,0,0,0,0,0,0,18,0
481576,1996,0,0,0,12,0,0,0,0,0,0
481577,1996,0,0,0,0,0,0,0,0,0,0
481578,1996,23,23,23,23,23,23,23,23,23,23
481579,1996,0,27,17,17,0,0,0,0,0,13
481580,1996,0,0,0,0,0,0,0,0,0,0
481581,1996,0,0,0,0,0,0,0,0,0,0
481582,1996,0,0,0,0,0,0,0,0,0,0
481583,1996,4,4,4,4,4,4,4,4,4,4
481584,1996,0,0,0,0,0,0,0,0,0,0
481585,1996,0,0,0,0,0,0,0,0,0,0
481586,1996,0,0,0,0,0,0,0,0,0,0
481587,1996,15,20,0,17,34,3,10,15,13,0
481588,1996,0,0,0,0,0,0,0,0,0,0
481589,1996,0,0,0,0,0,0,0,0,0,0
481590,1996,0,0,0,0,0,0,0,0,0,0
481591,1996,0,0,42,5,26,0,10,0,0,0
481592,1996,9,21,0,0,7,34,0,14,0,0
481593,1996,7,7,7,7,7,7,7,7,7,7
481594,1996,20,20,20,20,20,20,20,20,20,20
481595,1996,0,0,0,6,0,0,0,19,0,0
481596,1996,15,15,15,15,15,15,15,15,15,15
481597,1996,0,0,0,0,0,0,0,0,0,0
481598,1996,29,7,20,17,13,21,14,20,6,0
481599,1996,0,0,0,0,0,0,0,0,0,0
481600,1996,14,28,7,0,26,0,0,16,0,12
481601,1996,0,0,0,6,21,0,0,6,0,4
481602,1996,0,3,0,23,11,5,0,0,0,0
481603,1996,0,0,0,0,0,0,0,0,8,0
481604,1996,0,0,0,16,0,0,15,17,0,0
481605,1996,20,32,6,13,20,27,14,14,19,6
481606,1996,9,7,11,0,20,20,0,24,22,0
481607,1996,0,0,0,0,0,0,0,0,0,0
