State,Measures,Year,Values
Oklahoma,Licensed drivers,2011,2370643
Oregon,Licensed drivers,2011,2773956
Pennsylvania,Licensed drivers,2011,8796774
Rhode Island,Licensed drivers,2011,749706
South Carolina,Licensed drivers,2011,3408318
South Dakota,Licensed drivers,2011,603258
Tennessee,Licensed drivers,2011,4543759
Texas,Licensed drivers,2011,15122518
Utah,Licensed drivers,2011,1747487
Vermont,Licensed drivers,2011,521666
Virginia,Licensed drivers,2011,5467045
Washington,Licensed drivers,2011,5178789
West Virginia,Licensed drivers,2011,1198837.194
Wisconsin,Licensed drivers,2011,4147470
Wyoming,Licensed drivers,2011,421928
Alabama,Licensed drivers,2010,3805751
Alaska,Licensed drivers,2010,515239
Arizona,Licensed drivers,2010,4443647
Arkansas,Licensed drivers,2010,2077806
California,Licensed drivers,2010,23753441
Colorado,Licensed drivers,2010,3779273
Connecticut,Licensed drivers,2010,2934576
Delaware,Licensed drivers,2010,695036
District of Columbia,Licensed drivers,2010,384940
Florida,Licensed drivers,2010,13949726
Georgia,Licensed drivers,2010,6507888
Hawaii,Licensed drivers,2010,909407
Idaho,Licensed drivers,2010,1069542
Illinois,Licensed drivers,2010,8373969
Indiana,Licensed drivers,2010,5550469
Iowa,Licensed drivers,2010,2166759
Kansas,Licensed drivers,2010,2033092
Kentucky,Licensed drivers,2010,2950191
Louisiana,Licensed drivers,2010,3133631
Maine,Licensed drivers,2010,1019738
Maryland,Licensed drivers,2010,3918305
Massachusetts,Licensed drivers,2010,4592500
Michigan,Licensed drivers,2010,7083107
Minnesota,Licensed drivers,2010,3281463
Mississippi,Licensed drivers,2010,1928487
Missouri,Licensed drivers,2010,4246249
Montana,Licensed drivers,2010,743611
Nebraska,Licensed drivers,2010,1351516
Nevada,Licensed drivers,2010,1691318
New Hampshire,Licensed drivers,2010,1037083
New Jersey,Licensed drivers,2010,5952583
New Mexico,Licensed drivers,2010,1405926
New York,Licensed drivers,2010,11285830
North Carolina,Licensed drivers,2010,6536601
North Dakota,Licensed drivers,2010,483097
Ohio,Licensed drivers,2010,7963372
Oklahoma,Licensed drivers,2010,2348718
Oregon,Licensed drivers,2010,2769734
Pennsylvania,Licensed drivers,2010,8737162
Rhode Island,Licensed drivers,2010,747875
South Carolina,Licensed drivers,2010,3337247
South Dakota,Licensed drivers,2010,602275
Tennessee,Licensed drivers,2010,4418210
Texas,Licensed drivers,2010,15157650
Utah,Licensed drivers,2010,1659835.25
Vermont,Licensed drivers,2010,513481
Virginia,Licensed drivers,2010,5402347
Washington,Licensed drivers,2010,5106367
West Virginia,Licensed drivers,2010,1206026
Wisconsin,Licensed drivers,2010,4133377
Wyoming,Licensed drivers,2010,419466
Alabama,Licensed drivers,2009,3782284
Alaska,Licensed drivers,2009,507759
Arizona,Licensed drivers,2009,4403390
Arkansas,Licensed drivers,2009,2065065
California,Licensed drivers,2009,23680643
Colorado,Licensed drivers,2009,3704561
Connecticut,Licensed drivers,2009,2916143
Delaware,Licensed drivers,2009,699745
District of Columbia,Licensed drivers,2009,376086
Florida,Licensed drivers,2009,14005066
Georgia,Licensed drivers,2009,6315035
Hawaii,Licensed drivers,2009,889918
Idaho,Licensed drivers,2009,1055269
Illinois,Licensed drivers,2009,8301118
Indiana,Licensed drivers,2009,5550469
Iowa,Licensed drivers,2009,2145333
Kansas,Licensed drivers,2009,2045426
Kentucky,Licensed drivers,2009,2939423
Louisiana,Licensed drivers,2009,3086004
Maine,Licensed drivers,2009,1013533
Maryland,Licensed drivers,2009,3904685
Massachusetts,Licensed drivers,2009,4629636
Michigan,Licensed drivers,2009,7082820
Minnesota,Licensed drivers,2009,3245441
Mississippi,Licensed drivers,2009,1930603
Missouri,Licensed drivers,2009,4217910
Montana,Licensed drivers,2009,737964
Nebraska,Licensed drivers,2009,1349295
Nevada,Licensed drivers,2009,1690431
New Hampshire,Licensed drivers,2009,1034329
New Jersey,Licensed drivers,2009,5923538
New Mexico,Licensed drivers,2009,1377983
New York,Licensed drivers,2009,11329488
North Carolina,Licensed drivers,2009,6504269
North Dakota,Licensed drivers,2009,476561
Ohio,Licensed drivers,2009,7937498
Oklahoma,Licensed drivers,2009,2320985
Oregon,Licensed drivers,2009,2841972
Pennsylvania,Licensed drivers,2009,8687206
Rhode Island,Licensed drivers,2009,746032
South Carolina,Licensed drivers,2009,3268498
South Dakota,Licensed drivers,2009,602165
Tennessee,Licensed drivers,2009,4476539
Texas,Licensed drivers,2009,15374063
Utah,Licensed drivers,2009,1720015
Vermont,Licensed drivers,2009,506977
Virginia,Licensed drivers,2009,5347745
Washington,Licensed drivers,2009,5026521
West Virginia,Licensed drivers,2009,1328992
Wisconsin,Licensed drivers,2009,4105142
Wyoming,Licensed drivers,2009,410813
Alabama,Licensed drivers,2008,3753550
Alaska,Licensed drivers,2008,503162
Arizona,Licensed drivers,2008,4315579
Arkansas,Licensed drivers,2008,2055189
California,Licensed drivers,2008,23697667
Colorado,Licensed drivers,2008,3605682
Connecticut,Licensed drivers,2008,2883324
Delaware,Licensed drivers,2008,651877
District of Columbia,Licensed drivers,2008,373735
Florida,Licensed drivers,2008,14033844
Georgia,Licensed drivers,2008,6257484
Hawaii,Licensed drivers,2008,884767
Idaho,Licensed drivers,2008,1038314
Illinois,Licensed drivers,2008,8260940
Indiana,Licensed drivers,2008,5550469
Iowa,Licensed drivers,2008,1989663
Kansas,Licensed drivers,2008,2021905
Kentucky,Licensed drivers,2008,2932659
Louisiana,Licensed drivers,2008,2998162
Maine,Licensed drivers,2008,1006057
Maryland,Licensed drivers,2008,3786650
Massachusetts,Licensed drivers,2008,4674058
Michigan,Licensed drivers,2008,7118378
Minnesota,Licensed drivers,2008,3190183
Mississippi,Licensed drivers,2008,1935764
Missouri,Licensed drivers,2008,4196682
Montana,Licensed drivers,2008,738982
