ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10256,1,1,1991,0,0,0,0,0,0,0,0,0,0
10257,1,1,1991,0,0,0,0,0,0,0,0,0,0
10257,2,1,1991,25,0,18,18,0,0,0,0,0,0
10258,0,1,1991,0,0,20,0,0,0,0,0,0,0
10258,0,2,1991,27,0,0,0,0,0,0,0,0,0
10258,1,1,1991,0,0,0,0,0,0,0,0,0,0
10259,1,1,1991,0,0,0,0,0,0,0,0,0,0
10259,2,1,1991,0,0,0,0,0,0,0,0,0,0
10260,1,1,1991,0,0,0,0,0,0,0,0,0,0
10260,2,1,1991,0,0,0,0,0,0,0,0,0,21
10261,1,1,1991,0,0,0,0,0,23,0,0,0,0
10261,2,1,1991,0,0,0,25,0,0,0,0,0,0
10262,1,1,1991,0,0,0,0,0,0,0,0,0,0
10262,2,1,1991,24,31,22,20,23,19,30,14,31,23
10263,1,1,1991,0,0,0,0,0,0,0,6,0,22
10263,2,1,1991,0,0,0,0,0,0,0,0,0,0
10264,1,1,1991,0,0,0,0,0,0,0,0,0,0
10264,2,1,1991,0,0,0,0,0,0,0,0,0,0
10266,1,1,1991,0,0,0,0,0,0,0,0,0,0
10266,2,1,1991,0,0,0,0,0,0,0,0,0,0
10267,1,1,1991,4,4,4,4,4,4,4,4,4,4
10268,1,1,1991,0,0,0,0,0,0,0,0,0,0
10269,1,1,1991,24,33,19,21,24,39,13,34,13,20
10270,1,1,1991,0,0,0,0,0,0,0,0,0,0
10270,2,1,1991,0,0,0,0,0,0,0,0,0,0
10271,1,1,1991,0,12,36,0,0,0,0,0,0,0
10271,2,1,1991,23,23,0,0,23,0,0,0,31,14
10272,1,1,1991,5,0,0,0,11,32,0,0,0,22
10272,2,1,1991,0,0,0,0,0,2,0,0,0,0
10273,1,1,1991,2,2,2,2,2,2,2,2,2,2
10274,1,1,1991,0,0,0,0,0,0,0,0,0,0
10274,2,1,1991,0,0,0,0,0,0,0,0,0,0
10275,1,1,1991,19,26,26,5,12,14,24,27,3,0
10275,2,1,1991,0,0,0,0,0,0,0,0,0,0
10276,1,1,1991,20,20,20,20,20,20,20,20,20,20
10277,1,1,1991,23,0,0,32,0,11,0,8,0,0
10278,1,1,1991,21,0,24,0,16,6,12,0,0,0
10279,1,1,1991,0,0,0,0,0,0,0,0,0,0
10280,1,1,1991,28,0,0,0,0,0,16,0,0,0
10281,1,1,1991,14,14,14,15,11,6,7,12,10,26
10282,1,1,1991,0,0,0,0,0,0,0,0,0,0
10282,2,1,1991,0,0,0,0,0,0,0,0,0,0
10283,1,1,1991,0,0,0,0,0,0,0,0,0,0
10283,2,1,1991,27,0,0,0,0,0,18,0,0,0
10284,1,1,1991,18,18,18,18,18,18,18,18,18,18
10285,1,1,1991,10,20,4,7,0,0,19,17,29,0
10286,1,1,1991,0,0,0,0,0,0,0,0,0,0
10286,2,1,1991,19,11,0,0,14,0,0,24,12,0
10286,3,1,1991,0,0,0,0,0,0,24,0,0,0
10287,1,1,1991,0,0,26,0,0,0,0,0,0,0
10287,2,1,1991,0,0,0,0,0,0,0,0,0,0
10288,1,1,1991,0,0,0,0,0,0,0,0,0,0
10288,2,1,1991,0,0,0,0,0,0,0,0,0,0
10289,1,1,1991,14,6,19,13,21,16,19,16,14,18
10290,1,1,1991,8,8,8,8,8,8,8,8,8,8
10291,1,1,1991,0,0,0,0,0,0,0,0,0,0
